Query,Clicks,Impressions,CTR,Position
leather laptop bag,0,426,0%,2.73
small coffee mugs,0,425,0%,9.89
mug,0,423,0%,3.61
john lewis womens sale,0,422,0%,2.41
quality cushions,0,421,0%,2.69
mugs online,0,421,0%,5.66
maternity shops,0,421,0%,7.62
designer laptop bags men's,0,418,0%,7.62
john lewis homeware sale,0,413,0%,1
cute oven gloves,0,412,0%,6.75
leather laptop bag men,0,408,0%,2.67
men's bags,0,407,0%,6.21
see through makeup bag,0,407,0%,8.11
sewing organizer,0,406,0%,8.3
order curtains,0,405,0%,3.81
garden dining tables,0,404,0%,9.89
sewing box kit,0,403,0%,7.35
dkny toiletry bag,0,403,0%,8.29
sewing baskets uk,0,402,0%,5.41
makeup bag small,0,401,0%,5.6
pink and green cushions,0,401,0%,7.72
makeup pouch bag,0,399,0%,5.52
leather travel bags for men,0,398,0%,3.22
make up bag uk,0,394,0%,2.24
mugs sets,0,393,0%,5.99
grey makeup bag,0,393,0%,9.61
funky mugs uk,0,391,0%,9.82
good quality cushions,0,390,0%,2.56
make up.bags,0,382,0%,2.48
make-up bag,0,382,0%,3.24
large wash bag womens,0,381,0%,1.85
large makeup bags,0,380,0%,4.53
ceiling lamp,0,380,0%,7.49
trendy cushions,0,379,0%,7.52
mens shoulder bags uk,0,379,0%,9.78
mens overnight bags,0,377,0%,8.19
big wash bag,0,376,0%,2.62
cotton oven gloves,0,376,0%,4.62
leather backpack for men,0,375,0%,3.91
john lewis iphone 8,0,374,0%,7.5
messenger laptop bags,0,371,0%,7.44
john leeis curtains,0,370,0%,3.14
vanity case john lewis,0,369,0%,1.31
mens leather weekend bags,0,369,0%,4.42
compartment make up bag,0,368,0%,5.8
john lewis accessories,0,367,0%,1
floral makeup bag,0,367,0%,6.01
oven mittens,0,366,0%,5.21
warehouse maternity,0,365,0%,2.09
teal and pink cushions,0,365,0%,9.86
velvet patterned cushions,0,364,0%,10.26
mens side bags,0,363,0%,10.37
red makeup bag,0,362,0%,6.57
leather briefcases for men,0,361,0%,7.24
large messenger bags,0,361,0%,8.7
garden side tables,0,361,0%,8.96
debenhams wall mirrors,0,360,0%,5.79
messanger bags,0,359,0%,6.3
narrow wine fridge,0,359,0%,9.38
mugs for tea,0,358,0%,3.9
experience voucher,0,358,0%,5.32
iphone 8 john lewis,0,358,0%,6.59
cute mugs uk,0,358,0%,9.59
briefcase sale,0,357,0%,6.22
dining room ceiling lights,0,357,0%,9.76
luxury make up bag,0,355,0%,3.47
curtains made to order,0,355,0%,3.58
where to buy ready made curtains,0,355,0%,3.96
make up bag set,0,355,0%,4.08
men leather briefcase,0,355,0%,4.15
toiletry bags for women,0,355,0%,7.9
good quality curtains,0,354,0%,4.65
mens designer holdall bags,0,354,0%,7.38
buy oven gloves,0,351,0%,3.53
bedroom ceiling light,0,351,0%,6.52
christmas oven mitts,0,350,0%,8.14
buy ready made curtains,0,349,0%,4.52
makeup bag with mirror,0,349,0%,7.79
leather cosmetic bags,0,348,0%,1.53
designer mugs uk,0,346,0%,8.59
mens weekend bag,0,345,0%,3.63
pink makeup bag,0,344,0%,10.28
weekend bags for men,0,342,0%,8.95
mens business bags,0,341,0%,4.99
oven gauntlets,0,340,0%,6.73
designer coffee mugs,0,340,0%,9.02
sewing bix,0,338,0%,3.02
folding makeup bag,0,338,0%,9.14
www.john lewis.co.uk sale,0,337,0%,1.97
men satchel,0,337,0%,3.53
wash bags womens,0,337,0%,4.38
knitting box storage,0,337,0%,4.85
see through make up bag,0,337,0%,7.55
men's bags for work,0,336,0%,3.22
ready made curtains near me,0,336,0%,5.25
large vanity bag,0,334,0%,7.73
sewing box large,0,331,0%,4.25
brown leather bag men,0,329,0%,2.4
wine fridges,0,329,0%,10.9
cosmetic cases,0,328,0%,6.3
hanging makeup bag,0,328,0%,6.81
large makeup bag with compartments,0,328,0%,8.61
over the shoulder bags mens,0,327,0%,7.18
bags for men laptop,0,326,0%,1.26
small cosmetic bags,0,325,0%,3.94
experience gift cards,0,323,0%,3.59
gauntlet oven gloves,0,323,0%,9.36
cute makeup bags,0,323,0%,9.8
john lewis curtains sale,0,322,0%,2.85
outdoor garden coffee table,0,322,0%,4.59
toiletries bag womens,0,322,0%,5.79
purple makeup bag,0,322,0%,8.66
small briefcase,0,322,0%,10.42
coast maternity,0,321,0%,2.31
vanity bags,0,321,0%,6.09
curtain john lewis,0,319,0%,4.08
sowing box,0,318,0%,2.82
side bag for men,0,318,0%,11.13
ready made john lewis curtains,0,317,0%,5.5
double oven mitt,0,315,0%,2.15
clock for bedroom,0,314,0%,6.15
designer messenger bags,0,313,0%,11.55
ladies make up bags,0,312,0%,2.66
sewing caddy,0,312,0%,6.84
cost of curtains,0,311,0%,5.15
black oven mitts,0,310,0%,5.23
kitchen decorative accessories,0,310,0%,8.42
sewing kits boxes,0,309,0%,8
large mirrors,0,307,0%,7.23
trendy mugs,0,306,0%,6.39
pretty oven gloves,0,306,0%,6.41
how much do curtains cost,0,304,0%,6.01
toiletry bag womens,0,303,0%,7.94
ceiling lights for bedroom,0,302,0%,9.38
matching mugs,0,301,0%,8.81
velvet makeup bag,0,301,0%,9.43
office bag men,0,299,0%,2.31
leather men bag,0,299,0%,3.34
makup bag,0,299,0%,4.06
debenhams bathroom mirrors,0,299,0%,5.07
500ml coffee mugs,0,299,0%,9.14
pretty makeup bags,0,298,0%,2.2
tea mugs set,0,297,0%,6.76
handbag makeup bag,0,296,0%,4.14
nice makeup bags,0,295,0%,1.97
john lewis.curtains,0,294,0%,3.08
john lewis winter sale,0,294,0%,3.68
mens black leather laptop bags,0,294,0%,4.49
oven gauntlet,0,293,0%,4.88
pair of oven gloves,0,292,0%,7.3
mens designer messenger bags,0,292,0%,11.59
craft bag,0,291,0%,7.24
table clocks,0,291,0%,9.48
oasis maternity,0,290,0%,4.11
oven gloves sale,0,290,0%,4.48
side tables garden,0,290,0%,9.3
animal mugs,0,290,0%,10
boys overshirt,0,289,0%,6.97
make up bag large,0,286,0%,5.85
best work bags for men,0,286,0%,10.21
wash bag ladies,0,285,0%,2.46
black cosmetic bag,0,285,0%,6.12
cool man bags,0,284,0%,8.69
high quality cushions,0,283,0%,2.93
large toiletries bag,0,283,0%,4.46
navy blue oven gloves,0,283,0%,8.97
girls wash bag,0,283,0%,9.23
